"expt_date,04/29/2024 18:49",,,,,,,,,,,,,,,,,,,,
"subj_name,1",,,,,,,,,,,,,,,,,,,,
"sustattn,True",,,,,,,,,,,,,,,,,,,,
"changedetect,True",,,,,,,,,,,,,,,,,,,,
"seed,1714387756",,,,,,,,,,,,,,,,,,,,
"restarting,False",,,,,,,,,,,,,,,,,,,,
"env,other",,,,,,,,,,,,,,,,,,,,
"save_dir,./../subjects/1/data/beh/",,,,,,,,,,,,,,,,,,,,
"debug,False",,,,,,,,,,,,,,,,,,,,
"project_dir,./../",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset,
0,28,10:50:32:946000,6,1,[0 1 6 2 3 8],1,1,1,0.3245881,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,73.5246734,73.8492615,nan,nan
0,29,10:50:33:997000,6,1,[2 8 3 1 0 7],1,1,1,0.2751164,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,74.5808011,74.8559175,nan,nan
0,30,10:50:35:057000,6,1,[7 0 2 3 8 6],1,1,1,0.3753746,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,75.6366077,76.0119823,nan,nan
0,31,10:50:46:571000,6,0,[3 2 0 4 7 1],0,0,1,0.3636189,1,[ 1.  1.  1.  1.  1.  1.],[ 4.  3.  2.  1.  6.  5.],[ 3.  1.  4.  7.  6.  7.],1,[ 5.9643827  3.9424214  2.92013    1.8633049  8.3838009  7.6425451],8.462099,76.6924478,77.0560667,78.7115419,87.1166489
0,32,10:50:47:628000,6,1,[4 1 7 5 6 8],1,1,1,0.6329675,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,88.2015133,88.8344808,nan,nan
0,33,10:50:48:680000,6,1,[1 8 6 4 0 7],1,1,1,0.3229088,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,89.2572207,89.5801295,nan,nan
0,34,10:50:49:735000,6,1,[6 7 5 2 3 8],1,1,1,0.2657629,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,90.3123995,90.5781624,nan,nan
0,35,10:50:50:789000,6,1,[0 4 3 8 5 7],1,1,1,0.2813548,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,91.3732318,91.6545866,nan,nan
0,36,10:50:51:859000,6,1,[3 2 1 7 0 8],1,1,1,0.3174165,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,92.4298195,92.747236,nan,nan
0,37,10:50:52:914000,6,0,[5 0 4 6 8 1],0,0,1,0.4385592,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,93.4941738,93.932733,nan,nan
